# source: https://steamcommunity.com/sharedfiles/filedetails/?id=2786724419
# imported direction traces; never package this file in the agent image
a1	UURRR DDUUU LLLL
q10	LUUUR DDDLD RUUUU RDDRR ULULD DDURR DLULD LDDRU UUULU RRRDR ULLLL LDDDL LUULL
q11	LUUUL DURRR DLLUL DDDLD RURDD DLDRD DLLUL LULLD RRRRR DDRDD DUUUU LURRD DLDDL DDRUU UUDLL DDDDL LL
q12	LLLUU UUULU RURDD RDLLL LDDRR UDLLL DDRRL LRDDL LLDDR DDDLD RRDRU RULLU LDDDD RDRRD DLLLD DDLL
q13	DDRRD LLLLL LUULL LLLLL DLULU LLLLD RRRRR LUURD LDRRR UU
q14	RRRRU RDLDR LDLDR RRDRU LLLUU UURRD RDLLU LDDDL LURUL LULDL LRLUU RDLDR RL
q15	RRDDL ULLDL DRUUR DDDRR RULLR RRDDD DDDDD LLLLU LLLLL UUDLD RRRRU RDDDL DDDDD LLLUL LLLLU LURDL LDLUU RUUUU ULLDD DRURD RDLLU LDDDR DDLLL LULLL LLDDR RRDDL DRRDL UULUR RDDDR UUURR RRUUL DRDLL LLRDL UUURU LLLLL LRLRU ULLDD LDRUR DLLDR DRRDD DLLLL LD
q16	UURDL UURUL LUDDL UURUL DDDDL LDDUD DDDRR URUUU DRDLL DDLLD DDLUR RRLLL DDDRD LUUDR UULDD DDLLD DDDD
q17	DDLLL LLURD DDDDD LDRRR RRDRU UUUUU URULD DDLLL LUURU LLURD DDRDL
q18	LLLLL LRRUR DDLDR RRRRR DRRLL ULDDD RRRRL LLDDL LURUR DDDDL DRDUR LLLLL DDDDL LLLDL LRUUU LURRD RUDUU LLRDU RULDL URRUL LLDLU DLUUD RDDDD DLLLL LRRRR R
q19	LLUUR RRRUR DDLDR DUURR UUURR RUDUU LLLU
q20	LLDLU RUUUU LUDDD RRUUU RDDDL DDRRR DRUUU UUU
r1	DDRRR RRRRR DLUUL URRRR R UULL LLL
r2	RRRLU URRR
r3	LLDLU URUUL DDRUU UULDR LLLUU UUUUR DDDLU RULLD LURU
r4	LLLLL RRDDU UUUUU URUUD DDLDR URRDL UURLL LDLUU UUURU LLDLL LDRLU RRDLL
r5	DDLUU ULURD RDRUU RULLR DDLUR DDDDD RDLLL LLRRR UUUUU UUDLU DLUU
r6	DDDLU LURRD DRUUR ULDDL LDDDD DUURR UUUUR UULLL DRURD URDRR LLULD DDDDD DDD
r7	RUUUR DRDLU LDDRD LULDD DDLDR RLUUU URRRU UUDLL LUDLL URRUD LLLUR RLLDD DRRRR RDRUU ULLLR RRUDD LLLLL URLUR RLDRR LURRL DRRRL LURDR RUDLL URRLL LLLLL LLDDD DDDDD D
r8	URRDD DRDLU LDDLD DRDDL DRRRR RRRUR DDDDD LLLDD DDDDR RRRRR RRDRU LURUR DDDDL DD
r9	LLDDL LDDDD RUUUU UUURR RRURR UURUU ULLLL DRRRU UUUUR RURRU URUUU UURUU RULUL LDRRU URRRR UUUUU RUURU RUUUU ULLLL DLDDD DRLUU UUURR RULLU LDDRR RUURU LLUU
r10	DLLRR RDDLR UULLU ULRDD RRDDL LRRUU LLLLL RRRRR DDLLL LRRRR UULLU ULLLR RRRDD RDDLL LLLRR RRRUU LLUUU ULRRD DDDRD RDRUU U
r11	LLLLL UUUDD RUUDD RUUDD RUUDD RUUDD RUUDD RUUDD RUUDD RUUDD RUURU UURRR RRRRR DDLLL LLLDR RRRRR RRRRR RUUUR R
s1	RUUUR RULUL DDDDR RDLLL LLRUL LURLU URRUR DDRRR DLUUL ULDDD DLDDL UULUU RDLDR RLUUR RDDLD DDRRU UUU
s2	DRRUU UUUDD DLLLU RLULL RDDDD LLURD RUURR UUULD RDLUL DDDLL LULLD RUURU ULDRD LLDDL ULURR DRUUU DDLLL ULLRR RDRUU LLLDD DDDDD RDDLD RDRUU RU
s3	UULLL URDRR RRRUU ULDRD DLLLL LURRD RRRUU RULDD DLLLU RDRRU UDDLL URDRU LRRUL LRRUL LLLLL LLRDD DL
s4	RRURD DDLDL LULUR DDRUU LURRL LURRD DRUUU UUUUL URRRR RRRUD LLLLL ULDDD LDRRU RDDDD DDDLD RRRRR D
s5	DLULD RRURR DLULD RRDLL LULDD RDLDL LURRD LLLUL URRRR RURDD DUUUR DDDRD LLLUL DLDRL UUUUR RUULL
s6	DRRRD LDLUU UDRUR ULLDL UUUUU ULLLL DRRUL RDDDD LUUUU LLLUL DDRR
s7	URUUU RDLDR RDRUL LLDLD DRDDR LDLUL URURD LLLDD DLDDR DDRRL LDLUD DLLDD RDDUR LULUL UURUU UURDD LDDLD DRDDL URRRD RUUUL RULUL UL
s8	URRRD LDLUR RUUUL DRDLL LDLUR RUULD RDLUU LLDRU RDRDL DLUUL URRRL LLLDD LLRRU RDDUL LLLDL LLLDL LL
s9	ULDLU DRRRU URULR ULLUL DDLLD RRRLL DRLUU RDDLD RDRUU UUDDD RULDL UUULU RURDD DRDLL LLRRR UUULD RRDRU ULURR LDDDR RRRUL DDDDU UULLL RRRUR DDULL LDDDD URRRR UUUDL LDDDR RRRLU UUULL LRRRR DDDDL LDDDD
s10	DDRDL LLRRR RRUUU LLLLL ULDDD UUUUU RRRRR RLLLD DDDDD LLRRU UURUR RLLLD DDDLL LDDDD UUUUL URDRU DRULD LUULU RDDDD DRRRR RUUUU UDDDL LLLLL DDDLL LLRRR DRULU RRLUU URR
s11	RRRRU RUURR URRUU UURRR UUURU UUURU RUURU RURRR DDLLL LDDDD DDDRR RLUUU UUUDD DRRRR LUUUU UDDDR RRLUU UUUUD DDRRR LUUUU DDDRR RRLUU UUUUD DDLLD DDDDL LL
s12	LLDRU ULLUR DRUUU DDRRD RUURR DDLL
s13	RURDR RRRRR LLRRR RRRRL LDDDD DUUDD DDDUU LLLRR LLLRR DDR
s14	LLLLL LLLRD DDLLL LLLLL LRRRR RRLLL DDDDD LDRUU UUUUL LLLLL LRRRR RRRRL LLDDD DDDUU UUUUL LLLLL LRRRR RRRRL LLDDD DDDRL UUUUU ULLLL LLLRR RRRRR RLLLD DDDDD
s15	RRRRD DUULU UURUL LLLLL DDDUU URUUU UULUL LLLLU UURLU URLDD LURRR RRRDD DDUUU ULLDL LLUUU LUDUL UUULR UURRD DDDLD D
s16	DRRRU LDLUU UDLLU RRLUR DDRUU UURUL DLURR ULDDD DRRRD LULDR DLDLU UUUUL URDRU RULLU LDDDD DLDDR UUUUU LURRD DDDDD DDRRR RRRLL UUUUU UU
s17	LLLLL UURUU RRRDL LLULU RRRDL LLDDR RRRUL LDLUL URRRR ULLLL DRRRR ULLDL LRRRD LLLUR RRRDL LLLUR RRRDD DDRRR RRDDD LLLLL LRURR DDDDD RRRRR RRRRD RRRRR DDRRR RRRRD RRRRR RRR
s18	DURRR URDLL LLDUR RRRUR RRDLL DURRU RDRRR DDRRR DDLLD DLLDL LLDUR RRDRU LLLLD URRRR DRRRU LLDLL UUURR RRRUU RRRRU UU
s19	DRDDR ULLLL LRRRR UDRUD DDUUL LDDDD DLLLL LRRUU UUDRR RULLL LDRDL LLLLR UUDRR RRDDL LLRUU URRRR
s20	RRURR DRRUR L
s21	UUULD DDLLL UUULL DDLLL UUR
s22	RULUR RRRUL RDDLU UUUUR ULDDD DDDLL LLDRU UUUUU LURDD DDDRR UUDDD LDRRR RRURD LLLLL LLUUU RRRRR RURDL LLLLL LLDDD D
s23	UULLL UURUL DRULD RULDR ULDRU LDLUR RDLLU RRDDL LURDL URDRU LLDRR ULLDR RDULD URDUR DUUDD URDRR RUR
s24	UUUUU URUUU RURUU UUULL LLLDD DLUUL LLLLL LLDLU UDRLU UUUUU UDRUU URDLD UUUUU LLLLL LUULD DUURR RRRRL LLLDR URULL ULUUU UUULD RDDD
s25	RDDDD DRRRU UUUUR RLULD DDDDL DRUUU URDDD UUUUU LLULL LLLDD RRDDD LLUUR ULLLL ULDDR DLUL
s26	ULLUU DLDRU RDRDD LLUUU ULDDD RRRUR DDLDR RULLU UUULD DLURD DRUUU LLLDD RRDRU LDRLU UURRD DLRDD LLLUU URDDD LLD
s27	ULLLD RRUUU LDDLD RDRRU DLLUR UUURR DLLRR DLULD LDRUU ULDDL DRRRR RRURR DDDLL UURRU RDDDD DDLDR URRDL LLDLL LLLLD DDDLU RRDRR UULDR DLULD DLDRR RRRRU RDDDD DLURR DRRUU LDRDL ULDDD LDRRU URUUU LDDRD LULDD LDRRR RRRRR URDDD DLDDR R
s28	LLLUL DDDDR RURRR URUDL LUURR URRUU RRRRR RDDDD RRURR RURUU DDLLU URRUR RUURR RRRRD DDDRR RRD
s29	LDDLD LDRRU URRRR DLLRR UULLU LDDDL DRRUU UULLL DRURD DDRDD RURUL LULDL DRRDR UURUL LULLL LDDRR UURDD UULLD DLDRR URRRD DLURU LULDD RDDLU LDLDR RRRRD RDRUR RDRUR RU
s30	RDRUR UULDD LDRRD RULUR RDDRR RUUUU UUUUU LURDD RRRUU UUULU U
s31	RURRR ULDLL URRDR UUDLL ULLLD DLUUD RRRDR UULLL LULUU RRUUU LUUUU RULUU RRUUU LLUUR RRUUU LUURR UUULL LLLL
s32	LLDDR RULDL URULD LUUUD DRRRR RDRUU DDDDL ULLUR URDDR DLLLL RRUUU UURRU U
s33	LDDDR ULURR URDDR DDDLD LUUUL URLLU UUUUR RDRRR DDDDL URUUL DDRDL LLLLD LURRU UUULL UUUUU UUUUU RRDRU URULU LDDLD RRURR RRUUL LLLDL UUUUL URRRR DDDRU UUUUL URDDR RRDDD LLLLD LUUUU UUUUU UULLL ULLDL ULURR URDDL DDDDL LUUUU UUUUU LURRU RDDLD DDDLL UUUUU UUUUL URDRU UDDRU RRRRU RDLDR UUURD DDDDD
s34	RRRDR RLLUL LLLUU RUURU RRRRR DLLDL URULL LDLDL UULLL DRRRR DDDDD DLDLU ULLDR LDDRD RUUUR ULDLU ULURL URUUR DDRDL ULDDL DRDRU RLLLL ULLLL DLDLU LURRR DRUUL UURDD LDRLD RDRUU L
s35	LLURR RRDRU LURLL LDDDD DRRRR RULLD RRRUR DDUUR DDRDL LRRRR RRURD LDRDR R
s36	LUURD DDDRU UURUU LLDLU DLURR RRDLD LUULL UURDD LDLUU UUUUD RRUDL LDRRR RURDD DDDLD RLLLL UUUUR ULDLU URDRU RUULL LLUUU RRURL DLULL DDDDD DDLDR RRRLL UUUUU UUULL LLUUU RRRRR UDLLL LULLL DDDDD DDLDR RRRRL LUUUU UUUUL LLLUU URRUR RLLDL ULLLL DDDDD DDLDR RRRRR LLUUU UUUUU LLLLU UURRR RRUU
s37	UUUUU RRRRR DRRUU ULLLU LDDDL UULUR RLUUU RRRDR RUUUL LURDL DLUUL LLDDR RDRUL UUUUU RRRDR RUUUL URDLL LDLUU UUUUD RRRRR DRRUU UUU
s38	DDLLD RDRDD LLLLL RRRRD RRRRU ULUUD DDRDR DDLLL LLRRL LLURD DDDDR DDLUU UUUUU URULL LULDD RDRDD LLLLL LRRRR DRRRR UULUU RRUUU DLLLD DRRRL UURDL DRRDR RRRUU LUURR RRU
t1	RRRUL ULDDR RDLLL LLLLL LDLRU RRDLU UUURU ULDDD DDDDD DLDDD UUURU ULDRR RRURR DLLLL LLLLD LLRRU RRDLU UUURU ULDDD LDRRR RRRR
t2	URRRD DDLUU LURRR RDRUR ULLLL UURDL DRRRU RRDLL LRULD RRRD
t3	LLDLD RURDD DDDDD RRRRD UURUL ULDDL DRULL LLDDD DDDDU URULL LDLLL RRRRR URRR
u1	RRDDD LLDLU UDRRU URULL LULDL DRRRR DRUUR ULLLU UU
u2	RRRUU LLULD LDRRU RDLDD LDDRU UURUL DLLDL LURRD RURUU U
u3	DRRRR RRRRU UUUUU UULLL LLLLU LDDDD DDDDL DRRRR RRRRD RUUUU UUUUD DDRDL LULLL LLLLD DDDDD DDRRR RRRRU U
u4	RDDDL UDRRR ULLUU LDLDR RDRUU UUUDD DDDRU LLUUR DLLLD RRDRU UULUR DRRUL LLURD ULLLD RRRUL LLL
u5	UUULD UURLL DDRUU DRULD ULDLU LDDRU ULURU
u6	LLURR DLURR DLDRU RDLDD LURUL RRULD LURUL DLURU LDRDD DLURU LULDD UULLL LL
u7	RRRRD DDDLU UURDL UURUL LLDRD LLLUR DLLLU RURRD LDRRU RDDDL LLLLU LLDUR RRRDD DDDRR RRDLU UURDL UUURD RDLDR RRULD LURDD DLLUU UUURU ULRDD DDRRR RRDDD DRLDL URDDD LULUU RDLUU URDLU URDDD DDDLL L
u8	RDDDL LURRD RULLL DLLUU URRRU RDLDD LLRDR ULUUU RRRDR RULLL URRRU LDDDD RDLLL LUURU ULDDR DLUUL RURDR DLLUL LLDDD RDDLU UURUU LLLLU URRRR URDD
u9	LLLUU RRRUR RRUUL LLDLL URRRR DDLLD URDDR DDRUU UUUDD DDLLD LLULL DRRUU UUULL DDDDR RRUUR ULLUU RRDLU LDRDD DRRDD LLLLR RRUUU DLURD RRUUL
v1	RRRRR RRLLR DDLLU UUUUU DDURR DDLLL LLLRL
v2	RRRRR RRLLL DLUUU UDDDD LLRUR DLDDD UUUUL UURDD UUUD
v3	UULUR RDLDR UUURD DDDDL DRURD DDDDR RUUUU RR
v4	URUUL DDRDL LLLUU DRDDD ULLRR DRUUR ULLLL LLDDR RRD
v5	RDDLD LURUL LRUUL DRDDD LLURD RURUL LLLLL LLLLD LUURU LDDDD D
v6	DRRRR RLLLL LUUUU UDDDD DRRRR RLLLL DLLUR RRDRR UUULD RURDL DRURD DDDLD RRURR DLLLD LLUUU RDLLL DLUDD RRRRR RRDDD DL
v7	LLLUU UUDRD LLLLD LUUUU UDRDD LLLUL DRRRU LURRR RRLLL LLLLD DDDRR RUUUU RRRRR LRUUU UURUU U
v8	DDLLL ULUUU LLULD DLLLU
w1	DLLDD RRRRR UULLL LLULR URRRU LDDRU LURDD DDR
w2	DDDDU RRRRR RRUUU UUDRU RDULL LLLLD DDDDD URRRR RDRRR RDDDU LLLLL DL
w3	DDDRU LLLUU LURRR UUULL LURRR RLLDL LDDD
w4	LDDDD RRUUU RDDDL LLDLU URURD RDLLL LLLUU RRDLD LLUUU
w5	DLLLU RDLUU UUUUU UUUDL DRULD DDDUU UUUDD LDRLD RURRU RDLUU UU
w6	DDDDL URUUL LRUUL DRRDD DLURU LULLD RRDDD LLURD RURRU UULDR DLUUU UULLD RRDDD RDLLL LUU
w7	DDDDR RUDRR ULDLU UUUUU UDLUD LLDDD LDDDD DRRRD DULDR RRRRL LLUUU RRRLL LLLUU UUURR RRRLD DDDRL DDDLL LLLLL LUUUL LRRRR
w8	UUUUU UURUL LLDDD
